frame,houdini_frame,point_id,x,y,z,u,purity,intensity
3,3,7,0.271402,0.088977,0.007542,0.142857,0.950830,0.910080
3,3,8,0.310173,0.101688,0.008619,0.163265,0.950830,0.904259
3,3,9,0.348945,0.114399,0.009697,0.183673,0.950830,0.898437
3,3,10,0.387717,0.127109,0.010774,0.204082,0.950830,0.892616
3,3,11,0.426489,0.139820,0.011852,0.224490,0.950830,0.886794
3,3,12,0.465260,0.152531,0.012929,0.244898,0.950830,0.880973
3,3,13,0.504032,0.165242,0.014007,0.265306,0.950830,0.875152
3,3,14,0.542804,0.177953,0.015084,0.285714,0.950830,0.869330
3,3,15,0.581575,0.190664,0.016161,0.306122,0.950830,0.863509
3,3,16,0.620347,0.203375,0.017239,0.326531,0.950830,0.857687
3,3,17,0.659119,0.216086,0.018316,0.346939,0.950830,0.851866
3,3,18,0.697890,0.228797,0.019394,0.367347,0.950830,0.846045
3,3,19,0.736662,0.241508,0.020471,0.387755,0.950830,0.840223
3,3,20,0.775434,0.254219,0.021548,0.408163,0.950830,0.834402
3,3,21,0.814205,0.266930,0.022626,0.428571,0.950830,0.828580
3,3,22,0.852977,0.279641,0.023703,0.448980,0.950830,0.822759
3,3,23,0.891749,0.292352,0.024781,0.469388,0.950830,0.816937
3,3,24,0.930520,0.305063,0.025858,0.489796,0.950830,0.811116
3,3,25,0.969292,0.317774,0.026936,0.510204,0.950830,0.805295
3,3,26,1.008064,0.330485,0.028013,0.530612,0.950830,0.799473
3,3,27,1.046835,0.343196,0.029090,0.551020,0.950830,0.793652
3,3,28,1.085607,0.355906,0.030168,0.571429,0.950830,0.787830
3,3,29,1.124379,0.368617,0.031245,0.591837,0.950830,0.782009
3,3,30,1.163151,0.381328,0.032323,0.612245,0.950830,0.776188
3,3,31,1.201922,0.394039,0.033400,0.632653,0.950830,0.770366
3,3,32,1.240694,0.406750,0.034478,0.653061,0.950830,0.764545
3,3,33,1.279466,0.419461,0.035555,0.673469,0.950830,0.758723
3,3,34,1.318237,0.432172,0.036632,0.693878,0.950830,0.752902
3,3,35,1.357009,0.444883,0.037710,0.714286,0.950830,0.747081
3,3,36,1.395781,0.457594,0.038787,0.734694,0.950830,0.741259
3,3,37,1.434552,0.470305,0.039865,0.755102,0.950830,0.735438
3,3,38,1.473324,0.483016,0.040942,0.775510,0.950830,0.729616
3,3,39,1.512096,0.495727,0.042020,0.795918,0.950830,0.723795
3,3,40,1.550867,0.508438,0.043097,0.816327,0.950830,0.717974
3,3,41,1.589639,0.521149,0.044174,0.836735,0.950830,0.712152
3,3,42,1.628411,0.533860,0.045252,0.857143,0.950830,0.706331
3,3,43,1.667182,0.546571,0.046329,0.877551,0.950830,0.700509
3,3,44,1.705954,0.559282,0.047407,0.897959,0.950830,0.694688
3,3,45,1.744726,0.571993,0.048484,0.918367,0.950830,0.688867
3,3,46,1.783498,0.584703,0.049561,0.938776,0.950830,0.683045
3,3,47,1.822269,0.597414,0.050639,0.959184,0.950830,0.677224
3,3,48,1.861041,0.610125,0.051716,0.979592,0.950830,0.671402
3,3,49,1.899813,0.622836,0.052794,1.000000,0.950830,0.665581
4,4,0,0.000000,0.000000,0.000000,0.000000,0.927159,0.927159
4,4,1,0.036265,0.018659,0.001616,0.020408,0.927159,0.921482
4,4,2,0.072531,0.037319,0.003232,0.040816,0.927159,0.915806
4,4,3,0.108796,0.055978,0.004848,0.061224,0.927159,0.910130
4,4,4,0.145062,0.074638,0.006464,0.081633,0.927159,0.904453
4,4,5,0.181327,0.093297,0.008080,0.102041,0.927159,0.898777
4,4,6,0.217593,0.111957,0.009695,0.122449,0.927159,0.893100
4,4,7,0.253858,0.130616,0.011311,0.142857,0.927159,0.887424
4,4,8,0.290124,0.149276,0.012927,0.163265,0.927159,0.881747
4,4,9,0.326389,0.167935,0.014543,0.183673,0.927159,0.876071
4,4,10,0.362655,0.186595,0.016159,0.204082,0.927159,0.870394
4,4,11,0.398920,0.205254,0.017775,0.224490,0.927159,0.864718
4,4,12,0.435186,0.223913,0.019391,0.244898,0.927159,0.859041
4,4,13,0.471451,0.242573,0.021007,0.265306,0.927159,0.853365
4,4,14,0.507717,0.261232,0.022623,0.285714,0.927159,0.847688
4,4,15,0.543982,0.279892,0.024239,0.306122,0.927159,0.842012
4,4,16,0.580248,0.298551,0.025854,0.326531,0.927159,0.836335
4,4,17,0.616513,0.317211,0.027470,0.346939,0.927159,0.830659
4,4,18,0.652779,0.335870,0.029086,0.367347,0.927159,0.824982
4,4,19,0.689044,0.354530,0.030702,0.387755,0.927159,0.819306
4,4,20,0.725310,0.373189,0.032318,0.408163,0.927159,0.813629
4,4,21,0.761575,0.391849,0.033934,0.428571,0.927159,0.807953
4,4,22,0.797841,0.410508,0.035550,0.448980,0.927159,0.802276
4,4,23,0.834106,0.429167,0.037166,0.469388,0.927159,0.796600
4,4,24,0.870372,0.447827,0.038782,0.489796,0.927159,0.790923
4,4,25,0.906637,0.466486,0.040398,0.510204,0.927159,0.785247
4,4,26,0.942903,0.485146,0.042013,0.530612,0.927159,0.779570
4,4,27,0.979168,0.503805,0.043629,0.551020,0.927159,0.773894
4,4,28,1.015434,0.522465,0.045245,0.571429,0.927159,0.768217
4,4,29,1.051699,0.541124,0.046861,0.591837,0.927159,0.762541
4,4,30,1.087965,0.559784,0.048477,0.612245,0.927159,0.756864
4,4,31,1.124230,0.578443,0.050093,0.632653,0.927159,0.751188
4,4,32,1.160496,0.597103,0.051709,0.653061,0.927159,0.745511
4,4,33,1.196761,0.615762,0.053325,0.673469,0.927159,0.739835
4,4,34,1.233027,0.634421,0.054941,0.693878,0.927159,0.734159
4,4,35,1.269292,0.653081,0.056557,0.714286,0.927159,0.728482
4,4,36,1.305558,0.671740,0.058172,0.734694,0.927159,0.722806
4,4,37,1.341823,0.690400,0.059788,0.755102,0.927159,0.717129
4,4,38,1.378089,0.709059,0.061404,0.775510,0.927159,0.711453
4,4,39,1.414354,0.727719,0.063020,0.795918,0.927159,0.705776
4,4,40,1.450620,0.746378,0.064636,0.816327,0.927159,0.700100
