frame,houdini_frame,point_id,x,y,z,u,purity,intensity,width
4,4,49,1.644530,0.195465,0.127641,0.830508,0.951030,0.627844,0.044811
4,4,50,1.678092,0.199454,0.130246,0.847458,0.951030,0.622546,0.042232
4,4,51,1.711654,0.203443,0.132851,0.864407,0.951030,0.617292,0.039653
4,4,52,1.745215,0.207432,0.135456,0.881356,0.951030,0.612083,0.037074
4,4,53,1.778777,0.211421,0.138061,0.898305,0.951030,0.606918,0.034495
4,4,54,1.812339,0.215410,0.140666,0.915254,0.951030,0.601796,0.031916
4,4,55,1.845901,0.219399,0.143271,0.932203,0.951030,0.596718,0.029337
4,4,56,1.879463,0.223389,0.145876,0.949153,0.951030,0.591682,0.026758
4,4,57,1.913025,0.227378,0.148481,0.966102,0.951030,0.586689,0.024179
4,4,58,1.946586,0.231367,0.151086,0.983051,0.951030,0.581738,0.021600
4,4,59,1.980148,0.235356,0.153691,1.000000,0.951030,0.576829,0.019021
5,5,0,0.000000,0.000000,0.000000,0.000000,0.935246,0.935246,0.168344
5,5,1,0.033304,0.005297,0.003442,0.016949,0.935246,0.927354,0.165808
5,5,2,0.066609,0.010595,0.006884,0.033898,0.935246,0.919528,0.163272
5,5,3,0.099913,0.015892,0.010326,0.050847,0.935246,0.911768,0.160736
5,5,4,0.133218,0.021189,0.013768,0.067797,0.935246,0.904074,0.158199
5,5,5,0.166522,0.026487,0.017210,0.084746,0.935246,0.896445,0.155663
5,5,6,0.199827,0.031784,0.020652,0.101695,0.935246,0.888880,0.153127
5,5,7,0.233131,0.037081,0.024094,0.118644,0.935246,0.881379,0.150590
5,5,8,0.266436,0.042379,0.027536,0.135593,0.935246,0.873941,0.148054
5,5,9,0.299740,0.047676,0.030978,0.152542,0.935246,0.866566,0.145518
5,5,10,0.333044,0.052973,0.034420,0.169492,0.935246,0.859253,0.142982
5,5,11,0.366349,0.058271,0.037862,0.186441,0.935246,0.852002,0.140445
5,5,12,0.399653,0.063568,0.041304,0.203390,0.935246,0.844813,0.137909
5,5,13,0.432958,0.068865,0.044746,0.220339,0.935246,0.837683,0.135373
5,5,14,0.466262,0.074163,0.048188,0.237288,0.935246,0.830614,0.132837
5,5,15,0.499567,0.079460,0.051630,0.254237,0.935246,0.823605,0.130300
5,5,16,0.532871,0.084758,0.055073,0.271186,0.935246,0.816655,0.127764
5,5,17,0.566175,0.090055,0.058515,0.288136,0.935246,0.809763,0.125228
5,5,18,0.599480,0.095352,0.061957,0.305085,0.935246,0.802930,0.122692
5,5,19,0.632784,0.100650,0.065399,0.322034,0.935246,0.796154,0.120155
5,5,20,0.666089,0.105947,0.068841,0.338983,0.935246,0.789436,0.117619
5,5,21,0.699393,0.111244,0.072283,0.355932,0.935246,0.782774,0.115083
5,5,22,0.732698,0.116542,0.075725,0.372881,0.935246,0.776168,0.112547
5,5,23,0.766002,0.121839,0.079167,0.389831,0.935246,0.769618,0.110010
5,5,24,0.799307,0.127136,0.082609,0.406780,0.935246,0.763123,0.107474
5,5,25,0.832611,0.132434,0.086051,0.423729,0.935246,0.756684,0.104938
5,5,26,0.865915,0.137731,0.089493,0.440678,0.935246,0.750298,0.102402
5,5,27,0.899220,0.143028,0.092935,0.457627,0.935246,0.743967,0.099865
5,5,28,0.932524,0.148326,0.096377,0.474576,0.935246,0.737688,0.097329
5,5,29,0.965829,0.153623,0.099819,0.491525,0.935246,0.731463,0.094793
5,5,30,0.999133,0.158920,0.103261,0.508475,0.935246,0.725291,0.092256
5,5,31,1.032438,0.164218,0.106703,0.525424,0.935246,0.719170,0.089720
5,5,32,1.065742,0.169515,0.110145,0.542373,0.935246,0.713101,0.087184
5,5,33,1.099046,0.174812,0.113587,0.559322,0.935246,0.707083,0.084648
5,5,34,1.132351,0.180110,0.117029,0.576271,0.935246,0.701117,0.082111
5,5,35,1.165655,0.185407,0.120471,0.593220,0.935246,0.695200,0.079575
5,5,36,1.198960,0.190704,0.123913,0.610169,0.935246,0.689333,0.077039
5,5,37,1.232264,0.196002,0.127355,0.627119,0.935246,0.683516,0.074503
5,5,38,1.265569,0.201299,0.130797,0.644068,0.935246,0.677748,0.071966
5,5,39,1.298873,0.206596,0.134239,0.661017,0.935246,0.672029,0.069430
5,5,40,1.332178,0.211894,0.137681,0.677966,0.935246,0.666358,0.066894
5,5,41,1.365482,0.217191,0.141123,0.694915,0.935246,0.660734,0.064358
5,5,42,1.398786,0.222488,0.144565,0.711864,0.935246,0.655159,0.061821
5,5,43,1.432091,0.227786,0.148007,0.728814,0.935246,0.649630,0.059285
5,5,44,1.465395,0.233083,0.151449,0.745763,0.935246,0.644148,0.056749
5,5,45,1.498700,0.238381,0.154891,0.762712,0.935246,0.638712,0.054213
5,5,46,1.532004,0.243678,0.158333,0.779661,0.935246,0.633322,0.051676
5,5,47,1.565309,0.248975,0.161775,0.796610,0.935246,0.627978,0.049140
5,5,48,1.598613,0.254273,0.165218,0.813559,0.935246,0.622678,0.046604
5,5,49,1.631917,0.259570,0.168660,0.830508,0.935246,0.617424,0.044068
5,5,50,1.665222,0.264867,0.172102,0.847458,0.935246,0.612213,0.041531
5,5,51,1.698526,0.270165,0.175544,0.864407,0.935246,0.607047,0.038995
